City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,61.32,33,40,6.91,CA,1683751534
1,Haren,52.7833,7.2333,57.34,94,100,0.0,DE,1683751535
2,Port-aux-Français,-49.35,70.2167,44.4,93,84,25.66,TF,1683751447
3,Bethel,41.3712,-73.414,74.01,30,0,6.91,US,1683751536
4,Bilibino,68.0546,166.4372,32.2,85,100,5.12,RU,1683751477
5,Alice Springs,-23.7,133.8833,35.15,80,0,3.0,AU,1683751463
6,Alofi,-19.0595,-169.9187,80.49,83,40,10.36,NU,1683751542
7,Puerto Natales,-51.7236,-72.4875,36.05,93,75,2.3,CL,1683751542
8,Phalaborwa,-23.943,31.1411,65.48,64,43,3.71,ZA,1683751542
9,Tiksi,71.6872,128.8694,6.89,85,22,12.88,RU,1683751542
10,Isafjordur,66.0755,-23.124,43.02,93,100,0.98,IS,1683751543
11,Blackmans Bay,-43.0167,147.3167,39.72,93,1,5.26,AU,1683751543
12,Tamanghasset,22.785,5.5228,78.71,9,17,5.75,DZ,1683751543
13,Al Khārijah,25.4514,30.5464,80.17,15,0,5.73,EG,1683751544
14,Thompson,55.7435,-97.8558,60.96,59,75,8.05,CA,1683751352
15,Pacific Grove,36.6177,-121.9166,66.22,70,1,7.0,US,1683751544
16,Cuyo,10.8525,121.0086,84.85,74,91,9.13,PH,1683751544
17,Jamestown,42.097,-79.2353,69.53,39,0,10.36,US,1683751477
18,Broken Hill,-31.95,141.4333,47.77,74,0,7.56,AU,1683751545
19,Stanley,54.868,-1.6985,52.9,82,20,6.91,GB,1683751545
20,Punta Arenas,-53.15,-70.9167,42.91,81,75,11.5,CL,1683751330
21,Bochum,51.4833,7.2167,56.37,92,100,1.88,DE,1683751545
22,Taoudenni,22.6783,-3.9836,93.61,11,100,11.99,ML,1683751546
23,Waitangi,-43.9535,-176.5597,51.82,91,60,15.99,NZ,1683751478
24,Arica,-18.475,-70.3042,74.75,73,0,13.8,CL,1683751278
25,Vorkuta,67.5,64.0,21.92,97,100,3.58,RU,1683751547
26,Adamstown,-25.066,-130.1015,71.46,59,100,21.9,PN,1683751547
27,Dabakala,8.3667,-4.4333,81.61,64,48,5.95,CI,1683751547
28,Longyearbyen,78.2186,15.6401,33.64,80,75,16.11,SJ,1683751547
29,Malvern,34.3623,-92.813,73.2,91,100,6.04,US,1683751548
30,Gadzhiyevo,69.2551,33.3362,37.56,100,100,8.28,RU,1683751548
31,Howrah,22.5892,88.3103,86.0,79,40,11.5,IN,1683751548
32,Tôlanaro,-25.0319,46.9987,73.47,88,20,6.91,MG,1683751548
33,Turochak,52.2576,87.1224,37.92,97,34,2.24,RU,1683751549
34,Edinburgh of the Seven Seas,-37.0676,-12.3116,56.19,66,100,18.86,SH,1683751451
35,Ushuaia,-54.8,-68.3,46.06,61,75,12.66,AR,1683751549
36,Itoman,26.1247,127.6694,68.02,69,20,5.75,JP,1683751549
37,Papatowai,-46.5619,169.4708,43.63,73,100,16.28,NZ,1683751453
38,Talnakh,69.4865,88.3972,-8.57,85,10,2.3,RU,1683751550
39,As Sulayyil,20.4607,45.5779,86.25,14,0,9.04,SA,1683751550
40,Rio Grande,-32.035,-52.0986,69.91,63,0,8.81,BR,1683751550
41,Ad Dilam,23.9915,47.1627,90.01,12,0,11.7,SA,1683751551
42,Porto-Novo,6.4965,2.6036,84.02,78,98,8.46,BJ,1683751551
43,Cologne,50.9333,6.95,56.97,86,20,3.44,DE,1683751551
44,Cadale,2.7603,46.3222,80.6,84,23,17.52,SO,1683751552
45,Saint-Louis,16.3333,-15.0,86.36,28,98,11.23,SN,1683751552
46,Vila Velha,-20.3297,-40.2925,77.95,78,0,4.61,BR,1683751552
47,Progreso,21.2833,-89.6667,101.1,63,0,18.99,MX,1683751552
48,Arnö,60.1167,18.6333,43.79,66,68,8.01,SE,1683751553
49,Xai-Xai,-25.0519,33.6442,66.54,82,10,3.15,MZ,1683751553
50,Kapuskasing,49.4169,-82.4331,73.49,21,20,13.8,CA,1683751353
51,Iqaluit,63.7506,-68.5145,31.73,64,20,13.0,CA,1683751553
